Museum,Condition,AbsCoefFloor,AbsCoefCeiling,AbsCoefWalls,AbsAreaTotal,AbsAreaFloor,AbsAreaCeiling,AbsAreaWall,RT63,RT125,RT250,RT500,RT1K,RT2K,RT4K,RT8K,RTAverage,C63,C125,C250,C50,C1K,C2K,C4K,C8K,Caverage,STIrefpos,STI2,STI4,STI6,STI8,STI10,STI12,STI14,STIAverage,STITreble,rd,D2s,Lpas4,rc,Volume
M2,WM,0.09,0.07,0.082,17.037571,7.5933,3.534531,5.90974,0.981428571,1.158571429,1.412857143,1.695714286,1.831428571,1.727142857,0.982857143,0.63,1.751428571,5.830872114,1.94022351,-1.788687426,-4.277431835,-4.170717691,-3.955970745,0.807117106,3.586331131,-4.134706757,0.64,0.54,0.47,0.43,0.41,0.37,0.33,0.32,0.41,0.41,2.87,2.83,56.51,67.17,352.04
M2,WH,0.09,0.07,0.704,61.865111,7.5933,3.534531,50.73728,1.044285714,0.804285714,0.928571429,0.964285714,0.955714286,0.961428571,0.632857143,0.508571429,0.96047619,5.393803368,3.53353829,-0.060095592,1.192427811,0.798413791,0.813642017,4.580402961,6.053704072,0.934827873,0.76,0.65,0.56,0.5,0.47,0.43,0.39,0.38,0.482857143,0.48,7.13,4.09,52.66,14.65,352.04
W2,CL,0.09,0.01,0.03,16.83,10.71,1.19,4.93,4.87,5.73,3.82,3.10,2.28,1.82,1.42,1.12,2.40,-1.90,-4.14,-2.51,-0.07,-0.01,1.02,3.06,5.35,0.31,0.60,0.49,0.41,0.39,0.38,0.40,0.00,0.00,0.41,0.41,0.00,1.45,58.54,2626.20,543.15
W2,CM,0.09,0.14,0.03,32.30,10.71,16.66,4.93,1.77,2.58,1.67,1.73,1.68,1.53,1.24,1.00,1.65,1.75,0.13,0.85,3.43,2.76,2.69,3.52,6.02,2.96,0.66,0.56,0.47,0.44,0.44,0.43,0.00,0.00,0.47,0.47,3.92,1.92,56.72,273.97,543.15
W2,CH,0.09,0.81,0.03,112.03,10.71,96.39,4.93,1.59,1.82,1.50,1.83,2.16,1.77,1.03,0.48,1.92,1.09,1.39,5.24,9.96,12.70,12.52,13.45,15.22,11.73,0.85,0.75,0.63,0.56,0.53,0.52,0.00,0.00,0.60,0.60,9.42,3.23,52.69,20.84,543.15
W2,FL,0.01,0.03,0.03,9.93,1.19,3.81,4.93,1.96,3.08,3.17,4.55,5.45,5.46,3.54,1.60,5.15,0.35,-1.01,-2.90,-5.40,-6.37,-6.42,-4.13,0.70,-6.06,0.49,0.39,0.30,0.28,0.28,0.30,0.00,0.00,0.31,0.31,0.00,1.24,60.51,22649.90,543.15
W2,FM,0.09,0.03,0.03,19.45,10.71,3.81,4.93,1.39,1.84,1.90,2.31,2.80,2.89,2.22,1.20,2.67,1.62,0.87,1.06,-2.19,-2.63,-3.70,-2.15,1.97,-2.84,0.58,0.49,0.40,0.36,0.37,0.39,0.00,0.00,0.40,0.40,0.00,1.65,58.09,968.05,543.15
W2,FH,0.43,0.03,0.03,59.43,50.69,3.81,4.93,1.35,1.65,1.79,2.01,2.15,2.45,1.16,0.66,2.20,1.76,1.29,1.84,1.14,3.85,5.49,6.43,6.14,3.49,0.76,0.67,0.56,0.52,0.51,0.50,0.00,0.00,0.55,0.55,8.76,2.30,54.83,77.58,543.15
W2,WL,0.09,0.03,0.01,16.06,10.71,3.81,1.54,1.86,2.88,2.67,2.78,2.50,2.29,1.72,1.30,2.52,0.50,-0.82,-2.81,-3.99,-3.56,-2.92,-1.23,1.11,-3.49,0.58,0.47,0.40,0.37,0.37,0.37,0.00,0.00,0.40,0.40,0.00,1.40,58.47,3199.59,543.15
W2,WM,0.09,0.03,0.08,27.15,10.71,3.81,12.63,0.93,1.40,2.30,2.48,2.28,2.28,1.74,1.30,2.35,4.48,1.82,-1.44,-3.48,-2.49,-2.97,-1.42,0.89,-2.98,0.58,0.49,0.41,0.39,0.38,0.38,0.00,0.00,0.41,0.41,0.00,1.75,58.12,724.91,543.15
